area_sqft,bedrooms,bathrooms,age_years,floors,garage_spaces,has_pool,has_garden,location,price
1666,4,1,43,3,0,0,0,Midtown,215311
3274,2,1,7,1,0,0,1,Suburbs,333384
2482,2,2,23,3,1,1,1,Downtown,479438
1353,3,4,21,3,1,1,0,Rural,133835
4646,1,1,18,1,1,1,0,Downtown,806632
4236,5,3,36,2,0,0,1,Rural,314656
4269,4,4,17,2,2,0,1,Suburbs,514478
1074,2,3,30,3,1,0,0,Suburbs,87219
3761,1,2,36,2,2,1,1,Uptown,572130
1648,3,1,29,2,2,0,1,Uptown,269126
2215,6,3,41,2,0,1,0,Suburbs,259559
4354,2,2,32,2,0,0,1,Suburbs,431645
2991,3,1,9,3,0,0,0,Rural,252327
3160,4,3,36,2,1,0,0,Suburbs,350694
3624,5,3,11,2,0,0,1,Downtown,681940
3551,2,2,29,1,1,0,0,Rural,235603
504,2,1,26,3,1,0,0,Suburbs,50000
1376,4,1,38,1,1,0,1,Rural,104253
1491,6,3,8,1,1,1,1,Rural,165653
4642,1,3,20,3,0,0,1,Midtown,572623
4864,5,3,11,2,1,0,1,Uptown,813835
4965,2,1,28,1,0,0,1,Rural,347563
1135,5,2,32,3,0,0,0,Rural,95932
2193,2,2,42,2,1,1,0,Midtown,262245
2182,5,1,14,3,0,0,1,Suburbs,294510
619,3,4,1,1,2,1,0,Rural,66022
1330,2,2,38,2,0,0,1,Midtown,145951
4175,5,3,43,2,0,0,1,Downtown,729513
1869,1,4,17,3,1,0,0,Midtown,249444
1240,3,4,2,2,1,0,1,Uptown,245395
616,3,2,6,1,0,0,1,Uptown,141752
3338,1,4,42,1,1,1,0,Suburbs,317006
1650,5,4,17,1,2,0,1,Suburbs,235728
2431,4,2,43,3,2,0,0,Uptown,354065
1512,1,2,37,2,1,0,0,Uptown,186805
2164,5,4,36,2,0,0,1,Rural,189500
1581,1,3,32,2,2,0,1,Uptown,227015
1012,1,1,43,1,2,0,1,Suburbs,61812
3349,2,4,30,2,0,0,1,Uptown,486598
1059,5,4,10,1,1,0,1,Suburbs,199073
4172,4,3,3,2,2,0,0,Downtown,783140
3843,2,4,17,1,0,1,1,Uptown,618274
4570,1,4,3,2,0,0,1,Suburbs,519165
1970,6,1,48,3,2,0,0,Midtown,233303
1080,1,1,33,3,1,1,0,Rural,67583
2794,1,1,28,1,2,0,1,Suburbs,288540
3647,5,2,23,1,0,0,1,Uptown,567547
4749,5,2,21,2,2,0,1,Uptown,769470
2179,2,1,1,2,1,0,1,Downtown,421033
4006,4,1,43,3,0,0,1,Midtown,473561
3244,2,2,5,2,1,1,1,Suburbs,430838
3856,3,3,41,1,2,1,1,Midtown,465330
4545,1,4,24,1,2,1,0,Downtown,782594
1743,6,4,20,1,1,1,1,Rural,155150
3618,1,1,15,1,2,0,1,Midtown,471184
2641,1,3,30,1,1,0,1,Downtown,441313
3559,2,2,13,3,2,1,1,Suburbs,413813
3459,6,1,38,3,1,1,0,Rural,257969
2765,6,3,27,1,1,0,0,Uptown,456936
2979,6,3,31,2,0,1,0,Downtown,549258
2135,2,3,27,1,0,0,0,Uptown,296917
2257,1,2,48,3,1,0,0,Rural,130619
4952,2,2,8,1,2,0,1,Downtown,854851
2570,5,4,44,3,2,0,0,Downtown,462386
3349,5,4,21,3,2,0,0,Rural,277140
3751,2,3,31,1,1,0,1,Suburbs,379044
4230,6,3,4,1,1,0,1,Downtown,821415
2989,1,2,22,2,1,0,0,Rural,213968
2131,2,4,4,3,1,0,1,Midtown,319724
3316,2,3,41,2,0,1,1,Uptown,476693
1515,2,4,31,1,1,0,0,Downtown,245547
1848,3,4,9,3,2,0,0,Midtown,285964
3587,5,3,38,2,0,0,1,Downtown,609874
3339,6,2,14,2,2,0,1,Suburbs,399416
835,4,3,6,2,1,1,1,Rural,137452
1395,6,3,28,1,0,0,0,Downtown,274377
4046,4,4,46,1,1,1,0,Rural,275313
1351,3,3,2,1,0,0,1,Downtown,305265
2187,2,2,18,3,2,0,0,Suburbs,260851
2431,3,3,9,1,1,0,0,Suburbs,270457
4246,3,2,27,3,1,0,1,Midtown,532535
2927,1,2,28,2,0,0,0,Suburbs,275188
2068,5,4,14,2,0,0,1,Rural,179763
4500,4,1,34,1,1,0,1,Suburbs,456666
3238,2,1,5,2,0,0,0,Downtown,584819
3998,4,4,11,1,1,1,1,Suburbs,501944
4413,6,3,46,3,0,0,0,Rural,325794
1566,4,4,37,2,2,0,1,Downtown,288261
4880,6,2,12,1,0,0,0,Midtown,670541
2944,5,1,28,2,2,0,0,Midtown,390023
4607,6,4,18,2,0,0,1,Midtown,629637
3873,4,3,2,1,0,1,0,Downtown,750508
4469,4,4,7,2,1,1,1,Midtown,632270
3046,6,1,7,2,0,0,0,Suburbs,351039
1253,3,4,19,2,0,0,0,Downtown,265359
2582,5,4,46,2,2,0,1,Downtown,467214
3274,1,1,3,3,0,0,0,Downtown,591672
3396,2,2,20,2,1,0,0,Uptown,521565
4685,4,2,2,2,2,0,1,Rural,401009
1275,2,1,44,1,1,0,1,Uptown,172679
2125,1,4,7,3,1,0,1,Uptown,354846
3569,2,1,22,1,1,0,1,Uptown,550727
917,1,2,15,1,1,0,0,Rural,81687
614,6,3,12,1,2,0,1,Uptown,185399
1116,3,4,2,3,0,0,0,Midtown,200233
4474,4,2,47,1,1,1,1,Downtown,770956
3767,1,4,8,1,2,0,0,Downtown,680456
1325,2,1,13,1,1,1,1,Suburbs,167447
2016,4,3,12,2,0,0,1,Midtown,313241
3646,3,1,6,1,2,0,1,Rural,293727
912,6,3,14,3,2,0,1,Downtown,275041
1228,4,4,6,3,0,0,1,Uptown,264134
3848,1,4,37,2,2,1,1,Suburbs,408402
3308,3,1,33,3,0,0,0,Suburbs,301388
1175,2,3,40,3,2,0,0,Downtown,213130
3965,3,3,21,2,2,0,0,Midtown,520241
3004,3,4,23,1,0,1,0,Suburbs,338961
3467,5,1,48,2,0,0,1,Downtown,557702
3286,3,3,36,1,2,1,1,Midtown,458632
1622,3,4,43,1,2,1,1,Downtown,312878
4579,4,2,0,3,0,0,1,Downtown,869595
2071,2,1,9,2,0,1,1,Midtown,286472
2643,4,2,42,3,2,1,0,Midtown,326914
2187,4,1,15,3,2,0,0,Midtown,315784
4632,1,4,45,1,2,0,0,Downtown,732563
4351,4,3,7,3,0,0,0,Suburbs,493562
3940,5,3,48,2,2,0,1,Rural,299159
4266,5,3,24,3,1,0,1,Rural,322755
2826,1,1,49,3,0,0,1,Downtown,407021
3414,6,4,11,1,2,0,1,Downtown,680295
4452,2,2,24,2,0,0,1,Suburbs,454890
1095,2,4,16,3,1,0,0,Midtown,146453
1228,4,2,25,1,0,1,1,Downtown,247526
1865,4,1,45,3,2,1,0,Uptown,293098
4992,6,1,47,2,1,0,0,Midtown,629384
1198,4,2,13,3,1,0,0,Downtown,281478
895,2,2,40,3,2,0,0,Uptown,127687
4671,3,2,35,1,2,1,0,Suburbs,512492
4860,5,4,22,3,2,0,0,Uptown,789171
3002,3,2,42,1,0,0,1,Downtown,482961
2319,3,1,5,2,0,1,1,Rural,208336
1217,2,1,46,3,0,1,0,Downtown,202324
3282,3,3,4,2,2,1,0,Rural,301021
4077,6,2,42,2,2,1,1,Suburbs,476065
643,1,4,24,3,0,0,0,Suburbs,59530
3640,4,4,17,1,1,0,1,Midtown,506925
4991,1,4,12,2,0,0,1,Midtown,660791
3438,5,3,42,2,1,0,0,Rural,277137
4136,4,1,13,3,2,1,0,Rural,322009
3722,3,4,27,3,2,0,0,Suburbs,390614
1667,5,1,17,3,0,0,0,Uptown,289626
3116,4,3,27,3,0,1,0,Rural,273174
1562,6,2,26,3,2,0,1,Rural,151856
2656,6,2,31,3,0,1,0,Uptown,437139
3482,6,2,46,1,2,1,1,Midtown,456487
3794,6,4,8,2,2,0,1,Midtown,564587
1656,3,2,39,1,1,0,0,Rural,108107
1232,1,4,31,1,0,0,0,Midtown,145554
4830,4,3,19,3,2,0,0,Midtown,628144
1453,3,3,27,2,0,0,0,Midtown,172534
3039,6,4,32,1,1,0,1,Suburbs,334577
3824,1,1,3,3,1,1,0,Downtown,722411
3801,5,2,45,3,0,0,1,Rural,238790
2042,5,2,33,2,0,1,0,Rural,173712
1691,5,2,47,1,2,0,0,Suburbs,170347
3493,6,4,2,1,1,0,1,Downtown,728415
3181,5,3,25,1,1,1,1,Downtown,630929
1717,2,2,7,3,1,0,0,Suburbs,209378
2040,4,3,5,2,0,0,0,Uptown,340749
3736,4,2,15,2,2,0,1,Uptown,589385
2886,6,2,23,1,0,1,0,Downtown,545873
4219,2,4,47,3,0,0,0,Uptown,601964
1888,3,1,38,1,0,0,1,Uptown,284002
2356,3,4,29,2,2,0,0,Uptown,378412
1865,5,2,44,3,0,1,1,Downtown,347881
999,1,2,12,1,1,1,1,Uptown,189380
2180,3,1,4,1,1,0,1,Rural,177974
1010,1,3,24,3,1,1,1,Downtown,244081
4812,4,3,19,2,2,0,1,Suburbs,531120
1824,1,2,17,3,0,0,1,Uptown,285400
1655,4,3,46,1,2,0,1,Midtown,228771
2327,2,2,17,1,0,0,0,Downtown,392923
3641,2,1,1,1,1,0,0,Suburbs,407362
3986,6,1,9,1,0,0,1,Rural,333798
2310,6,2,44,2,0,0,1,Suburbs,248471
3423,5,1,49,2,0,1,0,Uptown,525223
2714,3,4,46,1,2,0,1,Midtown,358661
4686,5,4,11,2,0,0,0,Uptown,747730
1213,4,1,46,2,0,1,1,Suburbs,119318
4102,5,2,12,2,0,0,1,Downtown,753387
4634,1,2,49,1,2,0,1,Midtown,534769
4022,4,1,46,3,2,1,0,Midtown,484289
4768,6,3,10,3,2,0,1,Suburbs,566870
1743,2,4,18,3,0,0,0,Uptown,309913
4209,6,3,34,1,1,0,0,Suburbs,453205
1581,3,2,38,2,1,1,0,Midtown,205435
955,4,2,25,2,1,0,1,Suburbs,138682
1394,4,3,45,1,0,1,0,Midtown,182652
1884,1,1,13,1,1,0,0,Uptown,261871
2458,3,3,44,3,1,0,1,Downtown,417315
3572,2,3,43,3,1,1,1,Downtown,658605
2496,4,4,23,1,0,0,1,Suburbs,290498
4785,4,4,40,3,1,0,1,Midtown,587103
1004,1,3,0,2,1,0,0,Downtown,225994
1714,5,3,42,1,0,1,1,Midtown,208941
2031,2,2,21,1,2,0,1,Uptown,295201
3940,6,4,22,2,1,0,0,Suburbs,464214
1323,3,4,18,2,2,0,0,Midtown,203692
1428,4,2,17,2,1,1,0,Suburbs,200614
633,4,1,11,3,0,0,0,Midtown,129828
2605,6,4,27,1,2,0,1,Midtown,378192
4127,2,4,27,3,2,0,1,Uptown,651484
2352,5,1,32,2,2,0,1,Suburbs,270963
4675,4,4,18,3,2,0,1,Rural,396695
3433,2,4,27,2,1,0,0,Midtown,455061
3784,6,1,48,3,1,0,1,Midtown,471073
4798,1,1,36,3,2,1,0,Downtown,821028
3311,5,3,25,2,1,1,1,Suburbs,399899
1750,3,2,34,3,2,0,0,Rural,132817
4012,4,2,33,1,2,1,1,Uptown,623923
1756,2,1,34,3,0,0,0,Rural,133757
3876,1,1,39,3,2,1,0,Uptown,557560
3986,3,4,15,1,1,0,0,Rural,302642
4084,2,3,37,2,2,0,1,Rural,315023
1896,2,3,12,1,0,1,1,Suburbs,251368
4137,3,1,22,3,1,1,0,Downtown,784618
3830,1,4,21,2,0,0,1,Rural,306354
3203,6,4,15,3,0,0,1,Midtown,471265
970,1,2,27,3,2,0,1,Midtown,149470
1853,5,2,47,1,0,0,1,Midtown,216641
3283,4,4,34,1,0,0,0,Downtown,573977
3331,3,2,44,2,1,0,0,Rural,241176
857,6,1,45,2,0,1,1,Uptown,147076
3519,3,4,7,2,2,0,1,Uptown,591801
1167,3,2,43,3,2,0,1,Suburbs,142244
4968,1,3,21,1,2,0,1,Downtown,867246
1645,4,4,20,1,0,0,0,Rural,146213
4685,5,4,25,1,1,0,1,Midtown,624151
4219,2,3,39,2,2,0,0,Downtown,720844
3245,2,1,20,1,0,1,1,Downtown,608919
1039,3,3,24,1,2,1,0,Rural,93088
3279,4,4,40,1,2,0,1,Suburbs,380345
4636,6,1,0,2,1,0,1,Suburbs,548836
4275,1,2,5,1,2,0,0,Suburbs,475335
3008,4,2,22,2,1,1,0,Midtown,419414
3279,4,2,22,1,0,1,1,Midtown,449175
1424,1,4,42,1,2,0,1,Rural,91767
3456,3,3,42,1,0,0,0,Suburbs,350871
2081,4,1,22,2,0,1,1,Rural,155249
3824,2,2,31,2,0,0,1,Suburbs,422751
4985,1,1,29,1,2,0,0,Downtown,828507
755,6,4,12,3,1,1,0,Uptown,241319
2338,5,2,42,2,2,1,1,Uptown,398499
2444,3,4,17,2,0,0,1,Suburbs,285961
509,1,3,22,1,1,0,1,Rural,50000
